id;nombre;piso;depto;codigo_pos;direccion;barrio;comuna;dias_y_hor;telefonos;email;web;actividad;depende;publico;sector;activ;lon;lat
238;Paseo La Plaza;;;;CORRIENTES AV. 1660;San Nicolas;Comuna 1;;6320-5300;contacto@paseolaplaza.com.ar;www.paseolaplaza.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3899;-34.6043408987291
239;Teatro Calibán;;;;MEXICO 1428;Monserrat;Comuna 1;Lunes a Viernes de 16:00 20:00.;4381-0521;prensacaliban@gmail.com;www.teatrocaliban.blogspot.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3864;-34.615548384836
240;Bajo Corrientes;;;;CORRIENTES AV. 1632;San Nicolas;Comuna 1;;4377-8819;;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3899;-34.6043389849761
241;ángel del Abasto;;;;ZELAYA 3122;Balvanera;Comuna 3;;4862-2439;;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4099;-34.6016295370781
242;La Chilinga;;;1430;RUIZ HUIDOBRO AV. 4228;Saavedra;Comuna 12;;4543-0126;talleres@chilinga.com.ar;www.chilinga.com.ar;Espacio de Formación (Carreras, Seminarios y Talleres);;General;Privado;Espacio Escénico (Teatro, Música y Danza);-58.4896;-34.5525811044314
243;La Fuga Cabrera;;;;CABRERA, JOSE A. 4871;Palermo;Comuna 14;Viernes y Sábados 21:00.;4833-2043;;www.unica-cartelera.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4308;-34.590902578484
244;Teatro Regina - Casa del Teatro;;;;SANTA FE AV. 1243;Retiro;Comuna 1;Lunes a Viernes de 14:00 a 21:00. Domingos de 14:00 a 22:00.;4812-5470;;www.casadelteatro.org.ar/teatro.htm;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Biblioteca||Museo;-58.3849;-34.5955479971115
245;El Atajo;;;;MONTAÑESES 1977;Belgrano;Comuna 13;Lunes a Sabado de 19:00 a 23:00.;4787-6773;info@teatroelatajo.com.ar;www.teatroelatajo.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4478;-34.5586088327743
246;Teatro Absurdo de Palermo;;;;RAVIGNANI, EMILIO, Dr. 1557;Palermo;Comuna 14;;4779-1156;absurdo.palermo@gmail.com;www.absurdopalermo.blogspot.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4408;-34.5830226820874
247;Madera de Sueños;;;;JUFRE 375;Villa Crespo;Comuna 15;;4777-1015;;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.432;-34.5959429693117
248;Corriente Azul;;;;CORRIENTES AV. 5965;Villa Crespo;Comuna 15;Miercoles a Sábados de 19:00 a 23:00.;;info@corrientes.com.ar;www.corrientesazul.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4454;-34.5935776999773
249;El Farabute;;;;CORRIENTES AV. 5534;Villa Crespo;Comuna 15;Jueves, Viernes y Sábados de 20:00 a 23:00.;4854-1411;info@elfarabute.com.ar;www.elfarabute.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Bar Cultural;-58.442;-34.5970002763984
250;Teatro Coliseo;;;;ALVEAR, MARCELO T. De 1125;Retiro;Comuna 1;;4814-3056;;www.fundacioncoliseum.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3833;-34.5967987689967
251;Cine Teatro San Pedro;;;1417;BERMUDEZ 2052;Monte Castro;Comuna 10;;4639-1879;cinesanpedro@fibertel.com.ar;www.cineteatrosanpedro.blogspot.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Cine;-58.5093;-34.6196795934432
252;El Doble;;;;ARAOZ 727;Villa Crespo;Comuna 15;Lunes a Sábados de 11:00 a 22:00.;4855-2656;eldoble@eldobleteatro.com.ar;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4334;-34.5976670309426
253;La Otra Orilla;;;;URQUIZA, Gral. 124;Balvanera;Comuna 3;Lunes a Sábados de 10:00 a 23:00.;4957-5038;laotraorillacursos@gmail.com;www.laotraorilla.blogspot.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4102;-34.6118508919013
254;Auditorio Ben Ami;;;;JAURES, JEAN 746;Balvanera;Comuna 3;Sábados y Domingos de 19:00 a 22:00.;4961-0527;;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.408;-34.6015227148162
255;Pan y Arte / Boedo Vida y Arte;;;;BOEDO AV. 876;Boedo;Comuna 5;Lunes a Domingos de 12:00 a 23:00.;4957-6702;teatro@panyarte.com.ar;www.panyarte.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Bar Cultural;-58.4162;-34.6234469513105
256;Templum;;;;AYACUCHO 318;Balvanera;Comuna 3;;4953-1513;info@espaciotemplum.com.ar;www.espaciotemplum.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3952;-34.6055767287846
257;Teatro La Casona;;;1045;CORRIENTES AV. 1975;Balvanera;Comuna 3;Viernes y Sábados de 20:00 a 23:00.;4953-5595;teatrolacasona2011@gmail.com;http://teatrolacasona2011.blogspot.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3949;-34.6044070015898
258;Centro Argentino de Teatro Ciego;;;;ZELAYA 3006;Balvanera;Comuna 3;Lunes a Viernes 15:00 a 18:00.;6379-8596;info@teatrociego.com;www.teatrociego.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4084;-34.6019953628592
259;The Cavern Club;;;;CORRIENTES AV. 1660;San Nicolas;Comuna 1;Lunes a Domingos de 10:00 a 02:00.;6320-5361;info@thecavern.com.ar;www.thecavern.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Bar Cultural;-58.3899;-34.6043408987291
260;Grupo de Teatro Comunitario Res o No Res;;;;DIRECTORIO AV. y DE LA TORRE, LISANDRO AV.;Mataderos;Comuna 9;;3535-3319;info@resonores.com.ar;www.resonores.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.5031;-34.6601362582703
261;El Piso;;;;HIDALGO 878;Caballito;Comuna 6;Lunes a Viernes de 18:00 a 22:00.;4958-6016;;www.elpiso878.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4415;-34.6088444060234
262;El á‰pico de Floresta;;;;GAONA AV. 4660;Floresta;Comuna 10;;4958-6346;elepicodefloresta@yahoo.com.ar;www.elepicodefloresta.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4884;-34.6269742278534
263;Dandelión;1;;;CORDOBA AV. 2429;Recoleta;Comuna 2;Lunes a Viernes de 16:00 a 20:00.;4961-3259;cursos@maralconstanza.com.ar;www.maralconstanza.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4015;-34.5993518755191
264;IFT;;;;BOULOGNE SUR MER 549;Balvanera;Comuna 3;Lunes a Viernes de 16:00 a 20:00.;4964-9420;info@teatroift.org.ar;www.teatroift.org.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4064;-34.6036860637838
265;Teatro del ángel;;;;BRAVO, MARIO 1239;Recoleta;Comuna 2;Lunes a Viernes de 11:00 a 18:00.;4963-1571;tallerdelangel@yahoo.com.ar;www.tallerdelangel.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4148;-34.5952047314569
266;Teatro Piccolino;;;;FITZ ROY 2056;Palermo;Comuna 14;Lunes a Viernes de 15:00 a 20:00. Sábados y Domingos: funciones hasta las 23:00.;4770-0353;teatro@elpiccolino.com.ar;www.elpiccolino.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.433;-34.5812238516042
267;Chacarerean Teatre;;;;NICARAGUA 5565;Palermo;Comuna 14;Martes a Domingos de 10:00 a 22:00.;4775-9010;info@chacarereanteatre.com.ar;www.chacarereanteatre.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4331;-34.5819442974018
268;Teatro del Abasto;;;;HUMAHUACA 3549;Almagro;Comuna 5;;4865-0014;teatro@teatrodelabasto.com;www.teatrodelabasto.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4149;-34.6027307778753
269;Espacio Cultural Pata de Ganso;;;1171;ZELAYA 3122;Balvanera;Comuna 3;Lunes a Viernes de 10:00 a 20:00.;4862-0489 // 4862-0209;info@patadeganso.com.ar;www.patadeganso.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4099;-34.6016295370781
270;Cendas Auditorio;;;;BULNES 1350;Palermo;Comuna 14;Miercoles a Domingos de 15:00 a 23:00.;4862-2439;info@cendas.com.ar;www.cendas.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4169;-34.5959922694342
271;De La Fábula;;;;AGUERO 444;Balvanera;Comuna 3;;4862-6439;delafabula@hotmail.com;www.teatrodelafabula.blogspot.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4119;-34.6046071881987
272;El Portón de Sánchez;;;;SANCHEZ DE BUSTAMANTE 1034;Almagro;Comuna 5;Martes a Domingos de 10:00a 20:00.;4863-2848;portondesanchez@yahoo.com.ar;www.portondesanchez.blogspot.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4135;-34.598733927945
273;Andamio 90;;;;PARANA 662;San Nicolas;Comuna 1;Lunes a Viernes de 15:00 a 22:00.;4374-1484//4372-8386;info@andamio90.org;www.andamio90.org;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3881;-34.6010403004027
274;Margarita Xirgu;;;;CHACABUCO 875;San Telmo;Comuna 1;Martes a Domingos de 14:00 a 22:00.;4300-8817;info@margaritaxirgu.com;www.margaritaxirgu.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3759;-34.6181699757405
275;Teatro Maipo;;;;ESMERALDA 443;San Nicolas;Comuna 1;Lunes a Domingos de 10:00 a 20:00.;4322-4882;contactomaipo@lpatalano.com.ar;www.maipo.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3781;-34.6030596665973
276;Teatro El Nacional;;;;CORRIENTES AV. 960;San Nicolas;Comuna 1;Lunes a Sábados de 10:00 a 20:00. Domingos y Feriados de 12:00 a 18:00.;4326-4218;info@romayproducciones.com;www.romayproducciones.com/teatroelnacional;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3804;-34.603713203829
277;Tabarís;;;;CORRIENTES AV. 829;San Nicolas;Comuna 1;Miercoles a Domingos de 17:00 a 23:00.;4334-5455;;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3785;-34.603435917838
278;Astros;;;;CORRIENTES AV. 746;San Nicolas;Comuna 1;Lunes a Domingos de 10:00 a 22:00.;4552-9991;;www.teatroastros.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3773;-34.6035239281222
279;Multiteatro;;;;CORRIENTES AV. 1283;San Nicolas;Comuna 1;Lunes a Domingos de 10:00 a 23:00.;4382-9140//4328-0606;;www.multiteatro.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3848;-34.6038113855301
280;Teatro del Pueblo;;;;SAENZ PEÑA, ROQUE, PRES. AV. 943;San Nicolas;Comuna 1;Miercoles a Domingos de 16:00 a 21:00.;4326-3214;info@teatrodelpueblo.org.ar;www.teatrodelpueblo.org.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.38;-34.6044505480089
281;Teatro Metropólitan;;;;CORRIENTES AV. 1343;San Nicolas;Comuna 1;Lunes a Domingos de 10:00 a 20:00.;5277-0500;;www.teatrometropolitan.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3858;-34.6038710543362
282;Teatro Nacional Cervantes;;;;CORDOBA AV. 1155;Retiro;Comuna 1;Miercoles a Domingos de 10:00 a 21:00.;4815-8883;;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3836;-34.5990586413409
283;Estadio Luna Park;;;1106;BOUCHARD 465;San Nicolas;Comuna 1;Lunes a Viernes de 10:00 a 19:00. Sábados de 12 :00 a 19:00.;5279-5279;;www.lunapark.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.369;-34.6023480140952
284;Sportivo Teatral;;;;THAMES 1426;Palermo;Comuna 14;Jueves a Domingos de 17:00 a 23:00.;4833-3585;sportivoteatral@hotmail.com;www.sportivoteatral.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4328;-34.5891242608714
285;El Duende Teatro;;;;ARAOZ 1469;Palermo;Comuna 14;Martes a Viernes de 10:00 a 22:00.;4831-1538;info@teatroelduende.com // teatrodelduende@gmail.com;www.teatroelduende.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4254;-34.5924278156153
286;Santa María del Buen Ayre;;;;MONTEVIDEO 842;Recoleta;Comuna 2;Lunes a Viernes de 10:00 a 17:00.;4811-6086;teatrosantamaria@radar.com.ar;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3897;-34.5990171505205
287;La Biblioteca Café;;;1058;ALVEAR, MARCELO T. De 1155;Retiro;Comuna 1;Lunes a Viernes de 10:00 a 17:00.;4811-0673;info@labibliotecacafe.com.ar;www.labibliotecacafe.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Bar Cultural;-58.3836;-34.5968165957672
288;Teatro Orfeo;1;4;1426;CAMPOS, LUIS M. AV. 1375;Palermo;Comuna 14;Miercoles a Domingos de 10:00 a 19:oo.;4786-6569;teatroorfeo@gmail.com;www.teatroorfeo.blogspot.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4422;-34.5638494326543
289;Teatro Astral;;;;CORRIENTES AV. 1639;San Nicolas;Comuna 1;Martes a Domingos de 10:00 a 22:00.;4374-5707;infoastral@fibertel.com.ar;www.teatroastral.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3899;-34.6041771044773
290;Espacio Ecléctico;;;;HUMBERTO 1Â° 730;San Telmo;Comuna 1;;4307-1066;info@espacioeclectico.com.ar;www.espacioeclectico.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Centro Cultural;-58.3762;-34.6208875418548
291;Sala Carlos Carella;;;;MITRE, BARTOLOME 970;San Nicolas;Comuna 1;Lunes a viernes de 10:00 a 17:00.;4345-2774;;;Espacio Escénico (Teatro, Música y Danza);;General;;;-58.3802;-34.6072543286535
292;Beckett Teatro;;;;GUARDIA VIEJA 3556;Almagro;Comuna 5;Lunes a Domingos de 12:00 a 23:00. Jueves a Domingos  de 12:00 a 23:00. (sala teatral);4867-5185;teatrobeckett@gmail.com;www.teatrobeckett.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4148;-34.601983408275
293;Código Montesco;;;1172;GORRITI 3956;Palermo;Comuna 14;;3968-4292;info@codigomontesco.com.ar;www.codigomontesco.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Bar Cultural;-58.4207;-34.5954370110144
294;La Trastienda;;;;BALCARCE 460;Monserrat;Comuna 1;Lunes a Domingos de 10:00 a 22:00.;4342-7650;info@latrastienda.com;www.latrastienda.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3707;-34.6130932307581
295;Espacio Abierto;;;;CARABELAS 255;San Nicolas;Comuna 1;Lunes a Viernes de 10:00 a 20:00.;4328-2888;espacioabierto@roxanarandom.com.ar;www.roxanarandom.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3803;-34.6053332573432
296;Academia Porteña del Lunfardo;;;;ESTADOS UNIDOS 1379;Constitucion;Comuna 1;Lunes a Viernes de 14:00 a 19:00.;4383-2393;olivierieditor@hotmail.com;http://www.todotango.com/alunfardo/;Espacio de Formación (Carreras, Seminarios y Talleres);;General;ONG;Biblioteca||Centro Cultural;-58.3855;-34.6186278707187
297;Anfitrión;;;;VENEZUELA 3340;Almagro;Comuna 5;Lunes a Viernes de 16:00 a 20:00. Sábados y Domingos: funciones hasta las 23:00.;4940-2124;tananfitrion@fibertel.com.ar;www.anfitrionteatro.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4132;-34.6166694248492
298;Oeste;;;;BARCO CENTENERA del 141;Caballito;Comuna 6;Lunes a Viernes de 17:00 a 20:00.;4901-3111;estudiodelmercado@gmail.com;www.oesteestudiodelmercado.blogspot.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4411;-34.6214362434931
299;El Excéntrico de la 18;;;1414;LERMA 420;Villa Crespo;Comuna 15;Lunes a Viernes de 16:00 a 20:00.;4772-6092;info@elexcentricodela18.com.ar;www.elexcentricodela18.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4315;-34.5948259845614
300;Velma Café;;;1414;GORRITI 5520;Palermo;Comuna 14;Martes a Domingos de 18:00 al cierre.;4772-4690;info@velmacafe.com.ar;www.velmacafe.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Bar Cultural;-58.4365;-34.5854746085322
301;Entretelones Espacio Teatral;;;1426;MARTINEZ, ENRIQUE, GRAL. 1427;Colegiales;Comuna 13;Lunes a Viernes de 10:00 a 18:00.;3529-8527 / 4554-0087;info@entretelonesteatro.com.ar;www.entretelonesteatro.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Espacio de Formación (Carreras, Seminarios y Talleres);-58.4607;-34.5751377899993
303;El Brío;;;;GUATEMALA 5092;Palermo;Comuna 14;Lunes a Sábados de 17:00 a 22:00.;4771-7005;elbrioteatro@gmail.com;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4279;-34.583638286285
304;Centro Creativo Cabildo;;;;CABILDO AV. 4740;Saavedra;Comuna 12;Lunes a Viernes de 10:00 a 20:00.;4703-1412;teatroterapia@ciudad.com.ar;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4742;-34.5411839975832
305;Universidad Popular de Belgrano Alfredo Fazio;;;1429;CAMPOS SALLES 2145;Nuñez;Comuna 13;Lunes a Viernes de 12 a 20 / Sábados y domingos sólo salas infantiles de 14:30 a 17;4701-3101;informes@upebe.com.ar;www.upebe.com.ar;Biblioteca;;General;Privado;Espacio de Formación (Carreras, Seminarios y Talleres)||Centro Cultural;-58.4633;-34.5507583277512
306;Korinthio Teatro;;;;JUNIN 380;Balvanera;Comuna 3;;4951-3392;korintioteatro@hotmail.com;www.korinthioteatro.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3968;-34.6050235472961
307;Teatro El Espión;;;1222;SARANDI 766;Balvanera;Comuna 3;Lunes a Viernes de 15:00 a 20:00.;4943-6516;espionsala@gmail.com;www.teatro-el-espion.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3945;-34.6178813401477
308;EL GALPá“N Multiespacio;;;;DEAN FUNES 1267;San Cristobal;Comuna 3;Miercoles a Domingos de 17:00 a 23:00.;4942-5278;info@elgalponmultiespacio.com;WWW.MULTIESPACIO.COM;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4057;-34.6252752737533
309;Apacheta;;;;PASCO 623;Balvanera;Comuna 3;Lunes a Domingos de 10:00 a 18:00.;4941-5669;apachetasalaestudio@gmail.com;www.apachetasalaestudio.blogspot.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3978;-34.6164986502765
310;Grupo Matemurga De Villa Crespo;;;;VIALE, LUIS 654;Villa Crespo;Comuna 15;Miercoles, Jueves y Viernes de 12:00 a 18:00.;651;matemurga@yahoo.com.ar;www.matemurga.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4493;-34.605646993619
311;Mediterránea Espacio de Arte;;;;TUCUMAN 3378;Almagro;Comuna 5;Lunes a Domingos de 10:00 a 22:00 .;4863-7156;info@mediterraneateatro.com.ar;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Bar Cultural;-58.4133;-34.6000875872718
312;Del Sur;;;;VENEZUELA 2255;Balvanera;Comuna 3;Viernes, Sábados y Domingos de 18:00 a 23:00.;4941-1951;teatrosur@infovia.com.ar;www.teatrodelsur.blogspot.com;Espacio Escénico (Teatro, Música y Danza);;General;;;-58.3987;-34.614980620956
313;Cine Premier;;;;CORRIENTES AV. 1565;San Nicolas;Comuna 1;Miercoles a Domingos de 10:00 a 22:00.;4374-2113;;;Cine;;General;Privado;;-58.3889;-34.6041775978225
314;Broadway I  y II;;;;CORRIENTES AV. 1155;San Nicolas;Comuna 1;Lunes a Domingos 10:00 a 20:00.;4382-2201;;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3832;-34.6037138098424
315;ActorÂ´s Studio;;;;DIAZ VELEZ AV. 3842;Almagro;Comuna 5;Lunes a Viernes de 10:00 a 17:00.;4983-9883;actors@actors-studio.org;www.actors-studio.org;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4205;-34.6086347338454
316;I.M.P.A Cooperativa de Trabajo 22 de Mayo;;;;QUERANDIES 4290;Almagro;Comuna 5;Martes, miércoles, jueves y viernes de 15 a 20 / Sábados de 10 a 15;4981-3730;impacoop@speedy.com.ar;;Centro Cultural;;General;;Espacio Escénico (Teatro, Música y Danza)||Espacio de Formación (Carreras, Seminarios y Talleres);-58.4267;-34.6111999005863
317;Del Pasillo;;;;COLOMBRES 35;Almagro;Comuna 5;Lunes a Viernes de 10:00 a 20:00.;4981-5167;contacto@delpasilloteatro.com.ar;www.delpasilloteatro.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4195;-34.6119033495386
318;Teatro El Cubo;;;1171;ZELAYA 3053;Balvanera;Comuna 3;Martes a Domingo de 10:00 a 20:00.;4963-2568;info@cuboabasto.com.ar;www.cuboabasto.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4089;-34.6017972148901
319;Del Nudo;;;;CORRIENTES AV. 1551;San Nicolas;Comuna 1;Lunes a Viernes de 12:00 a 19:00.;4373-9899;;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3887;-34.6041613033449
320;Belisario Club de Cultura;;;1042;CORRIENTES AV. 1624;San Nicolas;Comuna 1;Lunes a Viernes de 10:00 a 21:00. Sábados y Domingos de 17:00 a 22:00.;4373-3465;belisarioteatro@hotmail.com;www.facebook.com/BelisarioClub;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3897;-34.6043294977981
321;Picadilly;;;;CORRIENTES AV. 1524;San Nicolas;Comuna 1;Lunes a Domingos;4373-1900;;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3882;-34.6042052369655
322;Teatro El Bululú;;;;RIVADAVIA AV. 1350;Monserrat;Comuna 1;Viernes, Sábados y Domingos;4381-1656;elbululu@laalmeja.com.ar;www.elbululu.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Bar Cultural;-58.3855;-34.6087625860117
323;Teatro Liceo;;;;RIVADAVIA AV. 1495;San Nicolas;Comuna 1;Lunes a Viernes de 10:00 a 20:00.;4381-5745;;www.multiteatro.com.ar/liceo;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3875;-34.6088466212872
324;Arlequino;;;;ALSINA, ADOLFO 1484;Monserrat;Comuna 1;Miercoles a Domingos de 18:00 a 23:00.;4382-7775;teatro-arlequino@yahoo.com.ar;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3871;-34.6111937188805
325;Lola Membrives;;;;CORRIENTES AV. 1280;San Nicolas;Comuna 1;Lunes a Domingos de 10:00 a 20:00.;4381-0076;info@lolamembrivesteatro.com.ar;www.lolamembrivesteatro.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3848;-34.6039748352842
326;Teatro El Vitral;;;1020;RODRIGUEZ PEÑA 344;San Nicolas;Comuna 1;Lunes a Viernes de 10:00 a 17:00.;4371-0948;teatroelvitral@yahoo.com.ar;www.teatrovitral.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3909;-34.6050495690572
327;TST (Teatro San Telmo);;;1150;COCHABAMBA 370;San Telmo;Comuna 1;;4361-7276;;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3708;-34.6230485226315
328;El Crisol;;;;ARISMENDI 2658;Parque Chas;Comuna 15;Lunes, Miercoles y Viernes de 15:00 a 20:00.;4523-0675;crisolteatro@yahoo.com.ar;www.crisol.org.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4766;-34.5846946985848
329;Castorera;;;;CORDOBA AV. 6237;Chacarita;Comuna 15;Lunes a Viernes de 14:00 a 22:00.;4555-4199;castorera_bar@yahoo.com.ar;www.castorera.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;Bar Cultural;-58.448;-34.5830185171794
330;Club de las Artes;;;1074;SALTA 755;Monserrat;Comuna 1;Martes a Sábados de 16:00 a 22:00.;4384-0700;;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3831;-34.617265077711
331;Gargantúa;;;;NEWBERY, JORGE AV. 3563;Chacarita;Comuna 15;Lunes a Domingos de 18:00 a 22:00.;4555-5596;info@teatrogargantua.com.ar;www.teatrogargantua.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4492;-34.5833810057001
332;Grupo Los Villurqueros;;;;MILLER 2751;Villa Urquiza;Comuna 12;Miercoles a Domingos de 15:00 a 22:00hs;4542-7785;villurqueros@yahoo.com.ar;;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4829;-34.5687930425393
333;Puerta Roja;;;;LAVALLE 3636;Almagro;Comuna 5;Viernes a Domingos 20:00.;4867-4689;puerta_roja@yahoo.com.ar;www.puerta-roja.blospot.com;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4167;-34.600341385608
335;Escalada;;;1414;ESCALADA DE SAN MARTIN, R. 332;Villa Crespo;Comuna 15;Lunes a Viernes de 20:00 a 23:00.;4856-0277;salaescalada@yahoo.com.ar;http://salaescalada.blogspot.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4498;-34.600131121459
336;La Ratonera Cultural;;;1414;CORRIENTES AV. 5552;Villa Crespo;Comuna 15;Lunes a Viernes de 15:00 a 22:00.;4857-2193;info@laratonera.com.ar;www.laratonera.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4422;-34.5968419355023
337;La Tertulia;;;;GALLO 826;Almagro;Comuna 5;Lunes a Viernes de 14:00 a 20:00.;6327-0303;latertulia@dosvias.com.ar;www.latertulia.on.to;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4123;-34.5998835123241
338;El Bardo;;;;COCHABAMBA 743;San Telmo;Comuna 1;Martes a Sábados de 10:00 a 23:00.;4300-9889;info@elbardoteatro.com.ar;www.elbardoteatro.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3763;-34.6233997229064
339;ND Ateneo;;;;PARAGUAY 918;Retiro;Comuna 1;Lunes a Sábados de 12:00 a 20:00.;4328-2888;;www.ndateneo.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.3801;-34.5977770392458
340;Timbre 4;;;;BOEDO AV. 640;Almagro;Comuna 5;Martes a Domingos de14:00 a 23:00hs;4361-7449;;www.timbre4.com.ar;Espacio Escénico (Teatro, Música y Danza);;General;Privado;;-58.4165;-34.6202169346909
341;Biblioteca Popular Dr. Arturo Jauretche;;;1068;PERU 823;San Telmo;Comuna 1;Lunes a Viernes de 14:00 a 18:00.;4362-3348;;;Biblioteca;;General;ONG;;-58.3745;-34.617639219937
